transaction_id,account_id,transaction_date,transaction_time,amount,debit_credit,status,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_id,customer_id,loan_type,payment_type,is_recovery_attempt
TXNL20230000001,ACC0117809,2023-11-07,02:30:27,3918.63,Debit,Completed,Loan Payment - LN2023APP000001,False,,2.5,,Online,LN2023APP000001,COM23000001,Business Loan,standard_payment,False
TXNL20230000002,ACC0117809,2023-12-07,04:56:10,3918.63,Debit,Completed,Loan Payment - LN2023APP000001,False,,2.5,,Automated,LN2023APP000001,COM23000001,Business Loan,standard_payment,False
TXNL20230000003,ACC0117808,2023-11-07,03:01:05,29895.88,Debit,Completed,Loan Payment - LN2023APP000002,False,,2.5,,Automated,LN2023APP000002,COM23000002,Business Loan,standard_payment,False
TXNL20230000004,ACC0117808,2023-12-07,02:29:31,29895.88,Debit,Completed,Loan Payment - LN2023APP000002,False,,2.5,,Automated,LN2023APP000002,COM23000002,Business Loan,standard_payment,False
TXNL20230000005,ACC0085517,2023-12-01,02:41:42,1114.19,Debit,Failed,Loan Payment - LN2023LMF000003- Extra Principal Payment,False,,2.5,,Automated,LN2023LMF000003,IND23000000,Home Loan,extra_payment,False
TXNL20230000006,ACC0108461,2023-08-28,03:08:24,89.73,Debit,Completed,Loan Payment - LN2023BRM000004,False,,2.5,,Automated,LN2023BRM000004,IND23000002,Personal Loan,standard_payment,False
TXNL20230000007,ACC0108461,2023-09-28,02:36:04,89.73,Debit,Completed,Loan Payment - LN2023BRM000004,False,,2.5,,Automated,LN2023BRM000004,IND23000002,Personal Loan,standard_payment,False
TXNL20230000008,ACC0108461,2023-10-28,02:05:42,89.73,Debit,Failed,Loan Payment - LN2023BRM000004,False,,2.5,,Automated,LN2023BRM000004,IND23000002,Personal Loan,standard_payment,False
TXNL20230000009,ACC0108461,2023-11-28,,89.73,Debit,Completed,Loan Payment - LN2023BRM000004,False,,2.5,,Automated,LN2023BRM000004,IND23000002,Personal Loan,standard_payment,False
TXNL20230000010,ACC0108461,2023-12-28,04:37:41,89.73,Debit,Completed,Loan Payment - LN2023BRM000004,False,,2.5,,Automated,LN2023BRM000004,IND23000002,Personal Loan,standard_payment,False
TXNL20230000011,ACC0087257,2023-11-01,04:05:39,737.71,Debit,Completed,Loan Payment - LN2023BRM000005,False,,2.5,,Automated,LN2023BRM000005,IND23000003,Personal Loan,standard_payment,False
TXNL20230000012,ACC0087257,2023-12-01,04:38:59,737.71,Debit,Completed,Loan Payment - LN2023BRM000005,False,,2.5,,Automated,LN2023BRM000005,IND23000003,Personal Loan,standard_payment,False
TXNL20230000013,ACC0082926,2023-11-01,03:24:21,182.63,Debit,Completed,Loan Payment - LN2023LMF000006,False,,2.5,,Mobile,LN2023LMF000006,IND23000004,Home Loan,standard_payment,False
TXNL20230000014,ACC0082926,2023-12-01,04:22:53,182.63,Debit,Completed,Loan Payment - LN2023LMF000006,False,,2.5,,Automated,LN2023LMF000006,IND23000004,Home Loan,standard_payment,False
TXNL20230000015,ACC0085010,2023-12-02,04:25:03,217.21,Debit,Completed,Loan Payment - LN2023BRM000009,False,,2.5,,Automated,LN2023BRM000009,IND23000009,Home Loan,standard_payment,False
TXNL20230000016,ACC0083516,2023-12-26,04:39:28,543.33,Debit,Completed,,False,,2.5,,Automated,LN2023BRM000010,IND23000010,Home Loan,standard_payment,False
TXNL20230000017,ACC0083516,2023-11-26,04:48:52,587.01,Debit,Completed,Loan Payment - LN2023BRK000011,False,,2.5,,Automated,LN2023BRK000011,IND23000010,Personal Loan,standard_payment,False
TXNL20230000018,ACC0083516,2023-12-26,02:14:44,587.01,Debit,Completed,Loan Payment - LN2023BRK000011,False,,2.5,,Automated,LN2023BRK000011,IND23000010,Personal Loan,standard_payment,False
TXNL20230000019,ACC0114050,2023-11-28,04:40:59,106.99,Debit,Completed,Loan Payment - LN2023BRK000013,False,,2.5,,Automated,LN2023BRK000013,IND23000014,Personal Loan,standard_payment,False
TXNL20230000020,ACC0114050,2023-12-28,05:55:20,106.99,Debit,Completed,Loan Payment - LN2023BRK000013,False,,2.5,,Mobile,LN2023BRK000013,IND23000014,Personal Loan,standard_payment,False
TXNL20230000021,ACC0114050,2023-09-27,02:43:24,241.68,Debit,Completed,Loan Payment - LN2023DIG000014,False,,2.5,,Automated,LN2023DIG000014,IND23000014,Personal Loan,standard_payment,False
TXNL20230000022,ACC0114050,2023-10-27,03:18:47,241.68,Debit,Completed,Loan Payment - LN2023DIG000014,False,,2.5,,Mobile,LN2023DIG000014,IND23000014,Personal Loan,standard_payment,False
TXNL20230000023,ACC0114050,2023-11-27,03:53:57,241.68,Debit,Completed,Loan Payment - LN2023DIG000014,False,,2.5,,Automated,LN2023DIG000014,IND23000014,Personal Loan,standard_payment,False
TXNL20230000024,ACC0114050,2023-12-27,01:12:05,241.68,Debit,Completed,Loan Payment - LN2023DIG000014,False,,2.5,,Mobile,LN2023DIG000014,IND23000014,Personal Loan,standard_payment,False
TXNL20230000025,ACC0085710,2023-10-27,02:18:37,10.0,Debit,Completed,Loan Payment - LN2023DIG000016,False,,2.5,,Automated,LN2023DIG000016,IND23000015,Vehicle Loan,standard_payment,False
TXNL20230000026,ACC0085710,2023-11-27,04:21:52,10.0,Debit,Completed,Loan Payment - LN2023DIG000016,False,,2.5,,Online,LN2023DIG000016,IND23000015,Vehicle Loan,standard_payment,False
TXNL20230000027,ACC0085710,2023-12-27,03:42:59,10.0,Debit,Completed,Loan Payment - LN2023DIG000016,False,,2.5,,Automated,LN2023DIG000016,IND23000015,Vehicle Loan,standard_payment,False
TXNL20230000028,ACC0103647,2023-11-28,02:15:50,640.93,Debit,Completed,Loan Payment - LN2023APP000017,False,,2.5,,Automated,LN2023APP000017,IND23000016,Home Loan,standard_payment,False
TXNL20230000029,ACC0103647,2023-12-28,04:40:09,640.93,Debit,Completed,Loan Payment - LN2023APP000017,False,,2.5,,Mobile,LN2023APP000017,IND23000016,Home Loan,standard_payment,False
TXNL20230000030,ACC0113940,2023-05-02,04:08:23,248.45,Debit,Completed,Loan Payment - LN2023BRM000018,False,,2.5,,Automated,LN2023BRM000018,IND23000018,Personal Loan,standard_payment,False
TXNL20230000031,ACC0113940,2023-06-02,02:10:36,248.45,Debit,Completed,Loan Payment - LN2023BRM000018,No,,2.5,,Automated,LN2023BRM000018,IND23000018,Personal Loan,standard_payment,False
TXNL20230000032,ACC0113940,2023-07-02,02:54:08,248.45,Debit,Completed,Loan Payment - LN2023BRM000018,False,,2.5,,Automated,LN2023BRM000018,IND23000018,Personal Loan,standard_payment,False
TXNL20230000033,ACC0113940,2023-08-02,04:00:56,248.45,Debit,Completed,Loan Payment - LN2023BRM000018,False,,2.5,,Automated,LN2023BRM000018,IND23000018,Personal Loan,standard_payment,False
TXNL20230000034,ACC0113940,2023-09-02,03:35:37,248.45,Debit,Completed,Loan Payment - LN2023BRM000018,False,,2.5,,Automated,LN2023BRM000018,IND23000018,Personal Loan,standard_payment,False
