review_id,booking_id,customer_id,hotel_id,room_id,overall_rating,cleanliness_rating,staff_service_rating,comfort_rating,location_rating,value_rating,review_text,review_date,review_timestamp,platform,booking_status_at_review,helpfulness_score,helpful_votes,unhelpful_votes,total_votes,helpfulness_level,has_response,response_date,response_text,response_by,sentiment,review_length,verification_status,trip_type,created_at,updated_at
ddc992f8-1565-448e-b1c3-65d9c88f6510,d22502a9-51e1-4ed5-b73a-4aa7a3ad7841,C0001001968,71d501b8-dc26-48e3-820c-40ec6a01592e,d7ee0ff3-7c4f-4017-970e-fbc2e4249149,2.5,1,2,1,1,1,Overpriced for the quality provided. Noise from hallway was constant and disruptive. Would not recommend based on our experience.,2019-05-22,2019-05-22 00:00:00,Booking.com,CHECKED_OUT,0.4,3,5,8,somewhat_helpful,False,,,,neutral,129,Unverified,Leisure,2019-05-22 00:00:00,2019-05-22 00:17:00
41c4df46-5f4f-4b4a-9938-4deb800408e2,8b441e44-7a72-41ed-bf6d-7319dd1d18ba,C0001003656,5a9e196b-0b2e-4885-b4a5-6e0ca34a447f,94eee843-cd42-4e3e-95d6-1d2c75f942a4,3.5,4,4,4,4,4,"The area was okay, nothing remarkable. One of the cleanest hotels I've ever stayed at. Reasonable value for what we paid. Might consider returning if improvements are made.",2019-06-09,2019-06-09 00:00:00,Booking.com,CHECKED_OUT,0.7,9,4,13,helpful,False,,,,neutral,172,Verified,Family,2019-06-09 00:00:00,2019-06-09 00:44:00
50104b15-cfaa-4bf3-a415-c1e640deaf95,ea0f9616-4451-45d3-83f4-973e6ece0750,C0001000205,71d501b8-dc26-48e3-820c-40ec6a01592e,4a18503f-bdf9-4dec-a7f5-793e28982bd4,4.0,4,4,4,4,4,Staff were present but not particularly engaging. Impeccably clean with attention to every detail.,2019-10-03,2019-10-03 00:00:00,Google Reviews,CHECKED_OUT,0.4,4,6,10,somewhat_helpful,True,2019-10-06,Thank you for your wonderful feedback! We're delighted you enjoyed your stay.,General Manager,positive,98,Unverified,Family,2019-10-03 00:00:00,2019-10-03 00:59:00
5d39dadd-891e-41c0-9daa-28a8368b7bd6,c00be03f-e779-4b2f-a295-3a62cd473bcf,C0001004065,1f052317-a69e-443c-970a-d0ce7fdfee16,698e1a73-ed6e-40c1-89e9-d320eb64162a,5.0,5,5,5,5,5,Impeccably clean with attention to every detail. Excellent value for the quality provided. Already planning our next visit. Would recommend to friends and family.,2019-07-19,2019-07-19 00:00:00,Hotel Website,CHECKED_OUT,0.52,7,8,15,somewhat_helpful,False,,,,positive,162,Unverified,Business,2019-07-19 00:00:00,2019-07-19 00:59:00
17c2f9e9-ce5a-48b8-a314-c9a5585a573d,5abce241-96a5-462e-89a1-1688493ea08a,C0001003399,1f54f7fa-2970-49c4-802b-105de2e71374,9fc20225-33c9-48a2-a805-0ffa65d01410,4.5,4,4,4,4,4,Very comfortable room with perfect temperature control. Staff were present but not particularly engaging. One of our best hotel experiences ever.,2019-08-20,2019-08-20 00:00:00,Google Reviews,CHECKED_OUT,0.7,17,8,25,helpful,True,2019-08-21,Thank you for your wonderful feedback! We're delighted you enjoyed your stay.,General Manager,neutral,145,Verified,Family,2019-08-20 00:00:00,2019-08-20 00:36:00
4baf88a2-9891-49ed-8bef-8e81b8a0820e,e9dc8af6-2762-45e5-966e-857f7b194716,C0001001200,cc3acdad-11d2-445b-97ab-817695d9c105,beadeba5-6483-4a3a-80b7-34fdc8a0513c,3.5,3,4,4,4,3,The staff went above and beyond to make our stay perfect. Excellent value for the quality provided. Great neighborhood with plenty of dining options nearby. Might consider returning if improvements are made.,2019-10-07,2019-10-07 00:00:00,Hotel Website,CANCELLED,0.84,10,3,13,helpful,False,,,,positive,207,Unverified,Leisure,2019-10-07 00:00:00,2019-10-07 00:28:00
49a336bf-79da-4698-9370-d8e5e6f37549,7085bad0-04c9-40fe-a4cf-80de223b140a,C0001001090,8ec63e15-9beb-4b53-bef8-eabde12f3b69,1f9b14d8-4c38-4476-9b41-3b7c97a714bd,4.0,4,4,4,4,3,Exceptionally friendly and helpful staff at every turn. Reasonable value for what we paid.,2019-03-19,2019-03-19 00:00:00,TripAdvisor,CHECKED_OUT,0.1,4,42,46,not_helpful,True,2019-03-25,Thank you for your wonderful feedback! We're delighted you enjoyed your stay.,General Manager,neutral,90,Verified,Business,2019-03-19 00:00:00,2019-03-19 00:41:00
a3245ea8-703e-484f-a96e-17669b39f33b,9dfe6864-6210-4f70-974b-fb53a01951e6,C0001003912,f86b921c-ec95-46d3-9613-0c7ef41988dd,f2ed3484-da1a-4b9a-82e1-8537cc536558,1.0,1,1,1,1,1,"Location was inconvenient and noisy. Bathroom cleanliness was below standards. Unfortunately, we experienced delays during our stay. Would not recommend based on our experience.",2019-07-08,2019-07-08 00:00:00,Booking.com,CHECKED_OUT,1.0,10,0,10,very_helpful,False,,,,negative,177,Unverified,Business,2019-07-08 00:00:00,2019-07-08 00:51:00
6d794a4d-8e5a-42b0-aecc-a5a5b7e99fa4,1ae24e4f-d284-456d-84fb-1b6922097f25,C0001004313,1f052317-a69e-443c-970a-d0ce7fdfee16,f51ea820-fb84-4bfe-b899-d9cea5552310,5.0,5,4,5,4,5,Exceptionally friendly and helpful staff at every turn. Perfect base for exploring the city. Excellent value for the quality provided. Already planning our next visit. Would recommend to friends and family.,2019-07-20,2019-07-20 00:00:00,Google Reviews,CHECKED_OUT,0.156,3,21,24,not_helpful,False,,,,positive,206,Verified,Family,2019-07-20 00:00:00,2019-07-20 00:46:00
1f2848ce-e7e1-4a7a-9936-f3eeb282e008,1428103c-b55b-435d-ad13-9c25fcc6d490,C0001001299,cc3acdad-11d2-445b-97ab-817695d9c105,d525cdc0-e245-4dd7-89af-75456b8e9750,2.5,1,2,2,2,1,"Location was convenient but nothing special. Room temperature was impossible to regulate. Unfortunately, we experienced old furniture during our stay. Would not recommend based on our experience.",2019-04-28,2019-04-28 00:00:00,Hotel Website,CHECKED_OUT,0.1,1,16,17,not_helpful,False,,,,neutral,195,Unverified,Family,2019-04-28 00:00:00,2019-04-28 00:13:00
